 Date,ID,Store,Country,Region,City,Foot Count,Foot Count Last Year,Foot Count Diff,Transactions,Transactions Last Year,Transactions Diff,Conversion,Conversion Last Year
01/05/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,89,-100.00%,0.00%,0.00
01/07/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,210,-100.00%,0.00%,0.00
01/03/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,126,-100.00%,0.00%,0.00
01/10/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,119,-100.00%,0.00%,0.00
01/21/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,67,-100.00%,0.00%,0.00
01/06/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,234,-100.00%,0.00%,0.00
01/04/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,347,-100.00%,0.00%,0.00
01/08/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,135,-100.00%,0.00%,0.00
01/23/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,70,-100.00%,0.00%,0.00
01/12/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,58,-100.00%,0.00%,0.00
01/09/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,98,-100.00%,0.00%,0.00
01/18/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,81,-100.00%,0.00%,0.00
01/26/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,17,-100.00%,0.00%,0.00
01/16/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,74,-100.00%,0.00%,0.00
01/11/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,128,-100.00%,0.00%,0.00
01/14/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,88,-100.00%,0.00%,0.00
02/03/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,71,-100.00%,0.00%,0.00
01/13/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,93,-100.00%,0.00%,0.00
01/19/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,25,-100.00%,0.00%,0.00
01/28/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,79,-100.00%,0.00%,0.00
02/06/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,68,-100.00%,0.00%,0.00
02/01/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,92,-100.00%,0.00%,0.00
01/24/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,58,-100.00%,0.00%,0.00
01/17/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,67,-100.00%,0.00%,0.00
02/08/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,81,-100.00%,0.00%,0.00
01/15/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,95,-100.00%,0.00%,0.00
02/04/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,66,-100.00%,0.00%,0.00
02/14/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,88,-100.00%,0.00%,0.00
02/11/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,67,-100.00%,0.00%,0.00
02/12/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,74,-100.00%,0.00%,0.00
02/07/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,81,-100.00%,0.00%,0.00
01/22/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,66,-100.00%,0.00%,0.00
02/24/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,57,-100.00%,0.00%,0.00
01/20/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,67,-100.00%,0.00%,0.00
02/10/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,53,-100.00%,0.00%,0.00
02/22/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,77,-100.00%,0.00%,0.00
02/26/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,59,-100.00%,0.00%,0.00
02/23/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,15,-100.00%,0.00%,0.00
02/15/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,88,-100.00%,0.00%,0.00
01/25/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,71,-100.00%,0.00%,0.00
03/06/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,74,-100.00%,0.00%,0.00
01/29/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,78,-100.00%,0.00%,0.00
02/17/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,49,-100.00%,0.00%,0.00
02/27/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,88,-100.00%,0.00%,0.00
03/07/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,62,-100.00%,0.00%,0.00
02/25/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,54,-100.00%,0.00%,0.00
02/18/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,71,-100.00%,0.00%,0.00
01/30/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,68,-100.00%,0.00%,0.00
01/03/2026,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,735,0,0.00%,221,0,0.00%,30.09%,0.00
01/31/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,107,-100.00%,0.00%,0.00
03/03/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,84,-100.00%,0.00%,0.00
03/04/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,77,-100.00%,0.00%,0.00
01/08/2026,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,628,0,0.00%,143,0,0.00%,22.79%,0.00
02/28/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,101,-100.00%,0.00%,0.00
03/05/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,65,-100.00%,0.00%,0.00
02/02/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,28,-100.00%,0.00%,0.00
01/10/2026,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,1160,0,0.00%,249,0,0.00%,21.47%,0.00
02/05/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,63,-100.00%,0.00%,0.00
01/01/2026,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,120,0,0.00%,0,0,0.00%,0.00%,0.00
03/09/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,29,-100.00%,0.00%,0.00
01/13/2026,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,581,0,0.00%,131,0,0.00%,22.55%,0.00
03/08/2025,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,0,0,0.00%,0,69,-100.00%,0.00%,0.00
01/04/2026,56,Bata Alibhai Sharif,Kenya,Nairobi West,Nairobi,437,0,0.00%,98,0,0.00%,22.43%,0.00
